3 36 8 3 3 2 
288

	    -0.5 -0.5 -0.5  0.0  0.0 -1.0  0.0  0.0
         0.5 -0.5 -0.5  0.0  0.0 -1.0  1.0  0.0
         0.5  0.5 -0.5  0.0  0.0 -1.0  1.0  1.0
         0.5  0.5 -0.5  0.0  0.0 -1.0  1.0  1.0
        -0.5  0.5 -0.5  0.0  0.0 -1.0  0.0  1.0
        -0.5 -0.5 -0.5  0.0  0.0 -1.0  0.0  0.0

        -0.5 -0.5  0.5  0.0  0.0  1.0  0.0  0.0
         0.5 -0.5  0.5  0.0  0.0  1.0  1.0  0.0
         0.5  0.5  0.5  0.0  0.0  1.0  1.0  1.0
         0.5  0.5  0.5  0.0  0.0  1.0  1.0  1.0
        -0.5  0.5  0.5  0.0  0.0  1.0  0.0  1.0
        -0.5 -0.5  0.5  0.0  0.0  1.0  0.0  0.0

        -0.5  0.5  0.5 -1.0  0.0  0.0  1.0  0.0
        -0.5  0.5 -0.5 -1.0  0.0  0.0  1.0  1.0
        -0.5 -0.5 -0.5 -1.0  0.0  0.0  0.0  1.0
        -0.5 -0.5 -0.5 -1.0  0.0  0.0  0.0  1.0
        -0.5 -0.5  0.5 -1.0  0.0  0.0  0.0  0.0
        -0.5  0.5  0.5 -1.0  0.0  0.0  1.0  0.0

         0.5  0.5  0.5  1.0  0.0  0.0  1.0  0.0
         0.5  0.5 -0.5  1.0  0.0  0.0  1.0  1.0
         0.5 -0.5 -0.5  1.0  0.0  0.0  0.0  1.0
         0.5 -0.5 -0.5  1.0  0.0  0.0  0.0  1.0
         0.5 -0.5  0.5  1.0  0.0  0.0  0.0  0.0
         0.5  0.5  0.5  1.0  0.0  0.0  1.0  0.0

        -0.5 -0.5 -0.5  0.0 -1.0  0.0  0.0  1.0
         0.5 -0.5 -0.5  0.0 -1.0  0.0  1.0  1.0
         0.5 -0.5  0.5  0.0 -1.0  0.0  1.0  0.0
         0.5 -0.5  0.5  0.0 -1.0  0.0  1.0  0.0
        -0.5 -0.5  0.5  0.0 -1.0  0.0  0.0  0.0
        -0.5 -0.5 -0.5  0.0 -1.0  0.0  0.0  1.0

        -0.5  0.5 -0.5  0.0  1.0  0.0  0.0  1.0
         0.5  0.5 -0.5  0.0  1.0  0.0  1.0  1.0
         0.5  0.5  0.5  0.0  1.0  0.0  1.0  0.0
         0.5  0.5  0.5  0.0  1.0  0.0  1.0  0.0
        -0.5  0.5  0.5  0.0  1.0  0.0  0.0  0.0
        -0.5  0.5 -0.5  0.0  1.0  0.0  0.0  1.0
